"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Editors","Publisher","PubMed ID","Document Type","Open Access","Source","EID"
"Zhang G.-Q.; Cui L.; Mueller R.; Tao S.; Kim M.; Rueschman M.; Mariani S.; Mobley D.; Redline S.","Zhang, Guo-Qiang (7405271191); Cui, Licong (23049434800); Mueller, Remo (26633052800); Tao, Shiqiang (56452298800); Kim, Matthew (57214772534); Rueschman, Michael (54409453700); Mariani, Sara (56249298800); Mobley, Daniel (56565055500); Redline, Susan (7102381732)","7405271191; 23049434800; 26633052800; 56452298800; 57214772534; 54409453700; 56249298800; 56565055500; 7102381732","The National Sleep Research Resource: Towards a sleep data commons","2018","Journal of the American Medical Informatics Association","353","10.1093/jamia/ocy064","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049445609&doi=10.1093%2fjamia%2focy064&partnerID=40&md5=294e3e6f3a4f9cfcff68f9d916f09fbf","Objective The gold standard for diagnosing sleep disorders is polysomnography, which generates extensive data about biophysical changes occurring during sleep. We developed the National Sleep Research Resource (NSRR), a comprehensive system for sharing sleep data. The NSRR embodies elements of a data commons aimed at accelerating research to address critical questions about the impact of sleep disorders on important health outcomes. Approach We used a metadata-guided approach, with a set of common sleep-specific terms enforcing uniform semantic interpretation of data elements across three main components: (1) annotated datasets; (2) user interfaces for accessing data; and (3) computational tools for the analysis of polysomnography recordings. We incorporated the process for managing dataset-specific data use agreements, evidence of Institutional Review Board review, and the corresponding access control in the NSRR web portal. The metadata-guided approach facilitates structural and semantic interoperability, ultimately leading to enhanced data reusability and scientific rigor. Results The authors curated and deposited retrospective data from 10 large, NIH-funded sleep cohort studies, including several from the Trans-Omics for Precision Medicine (TOPMed) program, into the NSRR. The NSRR currently contains data on 26 808 subjects and 31 166 signal files in European Data Format. Launched in April 2014, over 3000 registered users have downloaded over 130 terabytes of data. Conclusions The NSRR offers a use case and an example for creating a full-fledged data commons. It provides a single point of access to analysis-ready physiological signals from polysomnography obtained from multiple sources, and a wide variety of clinical data to facilitate sleep research. © © The Author(s) 2018. Published by Oxford University Press on behalf of the American Medical Informatics Association.","common data element; data commons; data integration; data provenance; data quality; data sharing; European Data Format; polysomnography; sleep research","Biomedical Research; Cohort Studies; Common Data Elements; Computational Biology; Datasets as Topic; Humans; Information Dissemination; Metadata; Polysomnography; Retrospective Studies; Sleep Wake Disorders; Systems Integration; User-Computer Interface; access to information; Article; biomics; clinical research; common data elements; data processing; human; institutional review; metadata; personalized medicine; polysomnography; semantic web; sleep; sleep disorder; biology; cohort analysis; common data elements; computer interface; information dissemination; information processing; medical research; polysomnography; retrospective study; sleep disorder; system analysis","","Oxford University Press","29860441","Article","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85049445609"
"Randhawa V.; Pathania S.","Randhawa, Vinay (56300188600); Pathania, Shivalika (56490777100)","56300188600; 56490777100","Advancing from protein interactomes and gene co-expression networks towards multi-omics-based composite networks: Approaches for predicting and extracting biological knowledge","2020","Briefings in Functional Genomics","5","10.1093/bfgp/elaa015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097570802&doi=10.1093%2fbfgp%2felaa015&partnerID=40&md5=8f6905e64600a0b8ebff241f717d3603","Prediction of biological interaction networks from single-omics data has been extensively implemented to understand various aspects of biological systems. However, more recently, there is a growing interest in integrating multi-omics datasets for the prediction of interactomes that provide a global view of biological systems with higher descriptive capability, as compared to single omics. In this review, we have discussed various computational approaches implemented to infer and analyze two of the most important and well studied interactomes: protein-protein interaction networks and gene co-expression networks. We have explicitly focused on recent methods and pipelines implemented to infer and extract biologically important information from these interactomes, starting from utilizing single-omics data and then progressing towards multi-omics data. Accordingly, recent examples and case studies are also briefly discussed. Overall, this review will provide a proper understanding of the latest developments in protein and gene network modelling and will also help in extracting practical knowledge from them. © 2020 The Author(s). Published by Oxford University Press. All rights reserved.","gene co-expression network; interactome modelling; machine learning; multi-omics data integration; protein interactome","Algorithms; Computational Biology; Genomics; Machine Learning; Protein Binding; protein binding; data integration; gene expression; machine learning; multiomics; pipeline; prediction; protein protein interaction; review; algorithm; biology; genomics; machine learning; procedures","","Oxford University Press","32678894","Review","","Scopus","2-s2.0-85097570802"
"Maggi N.; Gazzarata R.; Ruggiero C.; Lombardo C.; Giacomini M.","Maggi, Norbert (36724971000); Gazzarata, Roberta (36466289400); Ruggiero, Carmelina (35561242000); Lombardo, Claudio (7005662004); Giacomini, Mauro (55208666200)","36724971000; 36466289400; 35561242000; 7005662004; 55208666200","Cancer precision medicine today: Towards omic information in healthcare systems","2019","Tumori","6","10.1177/0300891618792473","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063693270&doi=10.1177%2f0300891618792473&partnerID=40&md5=15532e135ee3381224e04480fed9529e","Introduction: This article focuses on the integration of omics data in electronic health records and on interoperability aspects relating to big data analysis for precision medicine. Methods: Omics data integration methods for electronic health record and for systems interoperability are considered, with special reference to the high number of specific software tools used to manage different aspects of patient treatment. This is an important barrier against the use of this integrated approach in daily clinical routine. Results: The correct use of all three levels of interoperability (technical, semantic, and process interoperability) plays a key role in order to achieve an easy access to a significant amount of data, all with correct contextualization, which is the only way to obtain a real value from data for precision medicine. Conclusions: The proposed architecture could improve the potentialities of data routinely collected in many health information systems to form a real patient center information environment. © Fondazione IRCCS Istituto Nazionale dei Tumori 2018.","Electronic health records; electronic medical records; interoperability; personalized medicine; precision medicine","Delivery of Health Care; Electronic Health Records; Humans; Neoplasms; Precision Medicine; Semantics; Software; Article; electronic health record; genomics; health care system; human; malignant neoplasm; medical information; next generation sequencing; omics; personalized medicine; software; health care delivery; neoplasm; procedures; semantics","","SAGE Publications Ltd","30117369","Article","All Open Access; Bronze Open Access","Scopus","2-s2.0-85063693270"
"Dogan H.; Hakguder Z.; Scott S.; Cui J.","Dogan, Haluk (57537329800); Hakguder, Zeynep (57156422000); Scott, Stephen (7401506205); Cui, Juan (56457135500)","57537329800; 57156422000; 7401506205; 56457135500","Elucidation of MicroRNA-Gene Regulation in Human Cancer with Integrative Network Models","2019","Proceedings - 2019 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2019","0","10.1109/BIBM47256.2019.8983024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084336595&doi=10.1109%2fBIBM47256.2019.8983024&partnerID=40&md5=6cd3ee84251226438079c9a481424f1f","Computational modeling of complex gene regulation among different mechanisms involving transcript factors, microRNAs, lncRNAs, epigenetic modification, in a chaotic disease system such as cancer, has posed unprecedented challenges. In this study, we introduce a new integrative framework that handles genomics data integration and network model fusion with focus on the inference of context-dependent microRNA-gene interactions. Using breast cancer as a case study, we have identified stage-specific microRNA-gene binding patterns. Functional analysis indicates microRNA regulated signaling during cancer progression. © 2019 IEEE.","Bayesian Network; Functional Analysis; Gaussian Process; Gene Regulatory Network; miRNA Binding","Bioinformatics; Data integration; Diseases; Genes; Cancer progression; Computational model; Context dependent; Different mechanisms; Epigenetic modification; Gene interactions; Integrative framework; Network modeling; RNA","Yoo I.; Bi J.; Hu X.T.","Institute of Electrical and Electronics Engineers Inc.","","Conference paper","","Scopus","2-s2.0-85084336595"
"Wang K.; Bai X.; Li J.; Ding C.","Wang, Kun (56979542600); Bai, Xiaoying (15060098000); Li, Jing (57221572587); Ding, Cong (35769156500)","56979542600; 15060098000; 57221572587; 35769156500","A service-based framework for pharmacogenomics data integration","2010","Enterprise Information Systems","43","10.1080/17517575.2010.498525","https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955549084&doi=10.1080%2f17517575.2010.498525&partnerID=40&md5=289a837415e3c46b0bc59b46aeb04811","Data are central to scientific research and practices. The advance of experiment methods and information retrieval technologies leads to explosive growth of scientific data and databases. However, due to the heterogeneous problems in data formats, structures and semantics, it is hard to integrate the diversified data that grow explosively and analyse them comprehensively. As more and more public databases are accessible through standard protocols like programmable interfaces and Web portals, Web-based data integration becomes a major trend to manage and synthesise data that are stored in distributed locations. Mashup, a Web 2.0 technique, presents a new way to compose content and software from multiple resources. The paper proposes a layered framework for integrating pharmacogenomics data in a service-oriented approach using the mashup technology. The framework separates the integration concerns from three perspectives including data, process and Web-based user interface. Each layer encapsulates the heterogeneous issues of one aspect. To facilitate the mapping and convergence of data, the ontology mechanism is introduced to provide consistent conceptual models across different databases and experiment platforms. To support user-interactive and iterative service orchestration, a context model is defined to capture information of users, tasks and services, which can be used for service selection and recommendation during a dynamic service composition process. A prototype system is implemented and cases studies are presented to illustrate the promising capabilities of the proposed approach. © 2010 Taylor & Francis.","context-awareness; data as a service; mashup; ontology; Web services","Data handling; Database systems; Distributed computer systems; Experiments; Integration; Ontology; User interfaces; Web services; Conceptual model; Context models; Context- awareness; Data format; Data integration; Dynamic service composition; Experiment methods; Explosive growth; Information-retrieval technology; Multiple resources; Ontology web services; Pharmacogenomics; Prototype system; Public database; Scientific data; Scientific researches; Service mashup; Service orchestration; Service Oriented; Service selection; Service-based; Standard protocols; Web 2.0; Web portal; Internet protocols","","","","Article","","Scopus","2-s2.0-77955549084"
"Kuhn Cuellar L.; Friedrich A.; Gabernet G.; de la Garza L.; Fillinger S.; Seyboldt A.; Koch T.; zur Oven-Krockhaus S.; Wanke F.; Richter S.; Thaiss W.M.; Horger M.; Malek N.; Harter K.; Bitzer M.; Nahnsen S.","Kuhn Cuellar, Luis (54879334900); Friedrich, Andreas (56612938600); Gabernet, Gisela (55053581000); de la Garza, Luis (56027862900); Fillinger, Sven (57195245490); Seyboldt, Adrian (57219808325); Koch, Tobias (57448741300); zur Oven-Krockhaus, Sven (57193881124); Wanke, Friederike (57204644398); Richter, Sandra (35760342600); Thaiss, Wolfgang M. (56225696700); Horger, Marius (24923014700); Malek, Nisar (6701536363); Harter, Klaus (7007057455); Bitzer, Michael (57203106194); Nahnsen, Sven (36446537500)","54879334900; 56612938600; 55053581000; 56027862900; 57195245490; 57219808325; 57448741300; 57193881124; 57204644398; 35760342600; 56225696700; 24923014700; 6701536363; 7007057455; 57203106194; 36446537500","A data management infrastructure for the integration of imaging and omics data in life sciences","2022","BMC Bioinformatics","15","10.1186/s12859-022-04584-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124439356&doi=10.1186%2fs12859-022-04584-3&partnerID=40&md5=b6d0ed73f0b1a2f620157ad1ef4abf4f","Background: As technical developments in omics and biomedical imaging increase the throughput of data generation in life sciences, the need for information systems capable of managing heterogeneous digital assets is increasing. In particular, systems supporting the findability, accessibility, interoperability, and reusability (FAIR) principles of scientific data management. Results: We propose a Service Oriented Architecture approach for integrated management and analysis of multi-omics and biomedical imaging data. Our architecture introduces an image management system into a FAIR-supporting, web-based platform for omics data management. Interoperable metadata models and middleware components implement the required data management operations. The resulting architecture allows for FAIR management of omics and imaging data, facilitating metadata queries from software applications. The applicability of the proposed architecture is demonstrated using two technical proofs of concept and a use case, aimed at molecular plant biology and clinical liver cancer research, which integrate various imaging and omics modalities. Conclusions: We describe a data management architecture for integrated, FAIR-supporting management of omics and biomedical imaging data, and exemplify its applicability for basic biology research and clinical studies. We anticipate that FAIR data management systems for multi-modal data repositories will play a pivotal role in data-driven research, including studies which leverage advanced machine learning methods, as the joint analysis of omics and imaging data, in conjunction with phenotypic metadata, becomes not only desirable but necessary to derive novel insights into biological processes. © 2022, The Author(s).","Data integration; Data management infrastructure; Distributed systems; Imaging; Metadata models; Omics; Service oriented architecture","Biological Science Disciplines; Data Management; Information Management; Metadata; Software; Application programs; Clinical research; Data integration; Information management; Information services; Learning systems; Medical imaging; Metadata; Middleware; Modal analysis; Plants (botany); Reusability; Semantics; Service oriented architecture (SOA); 'omics'; Biomedical imaging; Data generation; Data management infrastructure; Imaging data; Life-sciences; Management infrastructure; Metadata model; Soa (serviceoriented architecture); Technical development; biomedicine; information processing; information system; metadata; software; Interoperability","","BioMed Central Ltd","35130839","Article","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85124439356"
"Sung J.; Hale V.; Merkel A.C.; Kim P.-J.; Chia N.","Sung, Jaeyun (36761731700); Hale, Vanessa (56719455700); Merkel, Annette C. (57104911100); Kim, Pan-Jun (8407485300); Chia, Nicholas (9840730700)","36761731700; 56719455700; 57104911100; 8407485300; 9840730700","Metabolic modeling with Big Data and the gut microbiome","2016","Applied and Translational Genomics","29","10.1016/j.atg.2016.02.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957671254&doi=10.1016%2fj.atg.2016.02.001&partnerID=40&md5=b1ca91733d860deb1b58a5cf86cf42d4","The recent advances in high-throughput omics technologies have enabled researchers to explore the intricacies of the human microbiome. On the clinical front, the gut microbial community has been the focus of many biomarker-discovery studies. While the recent deluge of high-throughput data in microbiome research has been vastly informative and groundbreaking, we have yet to capture the full potential of omics-based approaches. Realizing the promise of multi-omics data will require integration of disparate omics data, as well as a biologically relevant, mechanistic framework – or metabolic model – on which to overlay these data. Also, a new paradigm for metabolic model evaluation is necessary. Herein, we outline the need for multi-omics data integration, as well as the accompanying challenges. Furthermore, we present a framework for characterizing the ecology of the gut microbiome based on metabolic network modeling. © 2016 The Authors","Big Data; Data integration; Gut microbiome; Metabolic modeling; Microbial community","RNA 16S; bacterial genome; biological model; data analysis; data integration; data synthesis; genetic database; human; information processing; intestine flora; metabolic model; metabolomics; metagenomics; microbial community; nonhuman; priority journal; Review; statistics","","Elsevier B.V.","","Review","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84957671254"
"Dameron O.","Dameron, Olivier (6505873390)","6505873390","Semantic Web Methods for Data Integration in Life Sciences","2024","Biological Data Integration: Computer and Statistical Approaches","0","10.1002/9781394257317.ch2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184343134&doi=10.1002%2f9781394257317.ch2&partnerID=40&md5=c41b38441c7a5c8bb599d7a3a5727060","The life sciences are both inherently complicated, because of the large number of different elements involved, and complex, because of the strong interdependence of these elements. They typically seek to identify both general rules and weak signals in a field where intra- and inter-individual variability and a gradient of situations ranging from healthy to pathological are intermingled. This chapter presents the characteristics of life science databases, identifies the requirements associated with their use in systematic analyses and compares these requirements to the major current approaches. It presents the general principles of Semantic Web technologies and shows how they could address the previously mentioned requirements. The chapter presents current research areas for omics data integration. The Semantic Web is an extension of the classic web that emphasizes data representation in a format that makes their meaning explicit and enables their automatic processing by associating them with ontologies. © ISTE Ltd 2023.","Inter-Individual Variability; Life Science Database; Omics Data Integration; Semantic Web Technologies","","","wiley","","Book chapter","","Scopus","2-s2.0-85184343134"
"Dursun C.; Smith J.R.; Hayman G.T.; Kwitek A.E.; Bozdag S.","Dursun, Cagatay (57211255085); Smith, Jennifer R. (57209574674); Hayman, G. Thomas (7003271061); Kwitek, Anne E. (7003600418); Bozdag, Serdar (24472576200)","57211255085; 57209574674; 7003271061; 7003600418; 24472576200","NECo: A node embedding algorithm for multiplex heterogeneous networks","2020","Proceedings - 2020 IEEE International Conference on Bioinformatics and Biomedicine, BIBM 2020","2","10.1109/BIBM49941.2020.9313595","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100330604&doi=10.1109%2fBIBM49941.2020.9313595&partnerID=40&md5=7beb9b6b3a4d030767f1f0d12923560c","Complex diseases such as hypertension, cancer, and diabetes cause nearly 70% of the deaths in the U.S. and involve multiple genes and their interactions with environmental factors. Therefore, identification of genetic factors to understand and decrease the morbidity and mortality from complex diseases is an important and challenging task. With the generation of an unprecedented amount of multi-omics datasets, network-based methods have become popular to represent the multilayered complex molecular interactions. Particularly node embeddings, the low-dimensional representations of nodes in a network are utilized for gene function prediction. Integrated network analysis of multi-omics data alleviates the issues related to missing data and lack of context-specific datasets. Most of the node embedding methods, however, are unable to integrate multiple types of datasets from genes and phenotypes. To address this limitation, we developed a node embedding algorithm called Node Embeddings of Complex networks (NECo) that can utilize multilayered heterogeneous networks of genes and phenotypes. We evaluated the performance of NECo using genotypic and phenotypic datasets from rat (Rattus norvegicus) disease models to classify hypertension disease-related genes. Our method significantly outperformed the state-of-the-art node embedding methods, with AUC of 94.97% compared 85.98% in the second-best performer, and predicted genes not previously implicated in hypertension. © 2020 IEEE.","complex disease; disease gene prediction; feature learning; genotype to phenotype mapping; graph representation; hypertension; multi-omics data integration; multiplex heterogeneous networks; Network integration; network propagation; node embedding; random walk with restart; rat","Bioinformatics; Classification (of information); Diseases; Embeddings; Genes; Heterogeneous networks; Embedding algorithms; Environmental factors; Gene function prediction; Hypertension disease; Integrated networks; Low-dimensional representation; Multilayered complexes; State of the art; Complex networks","Park T.; Cho Y.-R.; Hu X.T.; Yoo I.; Woo H.G.; Wang J.; Facelli J.; Nam S.; Kang M.","Institute of Electrical and Electronics Engineers Inc.","","Conference paper","All Open Access; Green Open Access","Scopus","2-s2.0-85100330604"
"Springer J.; Zhang F.; Hussey P.; Buck C.; Regnier F.; Chen J.","Springer, John (24741234900); Zhang, Fan (55365747400); Hussey, Peter (11440122800); Buck, Charles (7102927874); Regnier, Fred (7103325401); Chen, Jake (55156580200)","24741234900; 55365747400; 11440122800; 7102927874; 7103325401; 55156580200","Towards a metadata model for mass-spectrometry based clinical proteomics","2012","Current Bioinformatics","1","10.2174/157489312802460785","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866685340&doi=10.2174%2f157489312802460785&partnerID=40&md5=4ddb11c82e81bfd84c23ba7c2479f06c","Recent proteomics studies of clinical samples have generated substantial interest. Aided by advances in analytical chemistry and bioinformatics, clinical proteomics has become a driving force behind molecular biomarker development. However, it is still difficult to manage and interpret large amounts of clinical proteomics data due to data integration challenges. The lack of practical metadata representation standards has prevented sharing and interpretation of mass spectrometry experimental results derived from different experimental conditions or different proteomics labs, and ultimately this absence has resulted in missed opportunities for proteomic biomarker discovery. Therefore, in this paper, we describe methods for deploying Semantic Web technologies to design an ontology using OWL for clinical proteomics information and to manage such information using various mechanisms, such as CPAS. We developed a practical proteomics experimental metadata model using Semantic Web technologies and demonstrated the manner in which this model can be integrated with current proteomics data analysis software systems. We demonstrated the manner in which systems employing the metadata model can begin to enable inter-laboratory sharing and analysis of clinical proteomics data. We also discussed the manner in which these tools and techniques have aided in proteomic biomarker discovery studies. Our work reflects an approach to adopt a Cancer Biomedical Informatics Grid (caBIG) compliant software system through the use of an ontology-based metadata model. This effort is the first step in a bigger initiative to move toward an ontology-based approach that enables a standards-driven approach to large-scale inter-laboratory proteomics data integration and analyses with the overarching goal of the discovery of proteomic biomarkers. © 2012 Bentham Science Publishers.","Clinical proteomics; OWL; RDF; Semantic web","biological marker; article; Computational Proteomics Analysis System; data analysis software; information technology; mass spectrometry; medical informatics; medical information system; priority journal; proteomics; web browser","","","","Article","","Scopus","2-s2.0-84866685340"
"Palmblad M.","Palmblad, Magnus (6701641213)","6701641213","Semantically enriched literature search combining text mining, QSPR and ontologies in scientific workflows","2018","Proceedings - IEEE 14th International Conference on eScience, e-Science 2018","0","10.1109/eScience.2018.00057","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061347152&doi=10.1109%2feScience.2018.00057&partnerID=40&md5=d2005e9c41b79da0b32053b1e2a45ae4","This presentation describes a novel combination of text mining and quantitative structure-property relationships (QSPR) of small molecules, where text-mined ChEBI entries were retrieved by combining Europe PMC RESTful APIs in scientific workflows and matched with QSPR predictions from machine learning. Described applications include metabolomics data integration, experimental design, historical studies and business intelligence. © 2018 IEEE.","Bibliometrics; Ontologies; QSPR; Scientific workflows; Text mining","Data integration; Learning systems; Ontology; Semantic Web; Bibliometrics; Literature search; Metabolomics data; QSPR; Quantitative structure property relationships; Scientific workflows; Small molecules; Text mining; Data mining","","Institute of Electrical and Electronics Engineers Inc.","","Conference paper","","Scopus","2-s2.0-85061347152"
"Zhou G.; Li S.; Xia J.","Zhou, Guangyan (57189035356); Li, Shuzhao (54398117000); Xia, Jianguo (57206724254)","57189035356; 54398117000; 57206724254","Network-Based Approaches for Multi-omics Integration","2020","Methods in Molecular Biology","30","10.1007/978-1-0716-0239-3_23","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078069689&doi=10.1007%2f978-1-0716-0239-3_23&partnerID=40&md5=a53506db509b0138cb8f65ff359e361c","Network-based approach is rapidly emerging as a promising strategy to integrate and interpret different -omics datasets, including metabolomics. The first section of this chapter introduces the current progresses and main concepts in multi-omics integration. The second section provides an overview of the public resources available for creation of biological networks. The third section describes three common application scenarios including subnetwork identification, network-based enrichment analysis, and systems metabolomics. The section four introduces the concept of hierarchical community network analysis. The section five discusses different tools for network visualization. The chapter ends with a future perspective on multi-omics integration. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.","Data integration; Hierarchical community networks; Multi-omics integration; Network enrichment analysis; Network visualization; Systems biology","Computational Biology; Data Analysis; Databases, Genetic; Genomics; Knowledge Bases; Metabolomics; Proteomics; Software; Systems Biology; User-Computer Interface; Web Browser; community care; data integration; metabolomics; multiomics; systems biology; biology; computer interface; data analysis; genetic database; genomics; knowledge base; metabolomics; procedures; proteomics; software; web browser","","Humana Press Inc.","31953831","Book chapter","","Scopus","2-s2.0-85078069689"
"Bernasconi A.; Canakoglu A.; Comolli F.","Bernasconi, Anna (57195587336); Canakoglu, Arif (55537653100); Comolli, Federico (57314847000)","57195587336; 55537653100; 57314847000","Processing genome-wide association studies within a repository of heterogeneous genomic datasets","2023","BMC Genomic Data","0","10.1186/s12863-023-01111-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85149541411&doi=10.1186%2fs12863-023-01111-y&partnerID=40&md5=1cb5cc21419a2643b72abeacf3a03e76","Background: Genome Wide Association Studies (GWAS) are based on the observation of genome-wide sets of genetic variants – typically single-nucleotide polymorphisms (SNPs) – in different individuals that are associated with phenotypic traits. Research efforts have so far been directed to improving GWAS techniques rather than on making the results of GWAS interoperable with other genomic signals; this is currently hindered by the use of heterogeneous formats and uncoordinated experiment descriptions. Results: To practically facilitate integrative use, we propose to include GWAS datasets within the META-BASE repository, exploiting an integration pipeline previously studied for other genomic datasets that includes several heterogeneous data types in the same format, queryable from the same systems. We represent GWAS SNPs and metadata by means of the Genomic Data Model and include metadata within a relational representation by extending the Genomic Conceptual Model with a dedicated view. To further reduce the gap with the descriptions of other signals in the repository of genomic datasets, we perform a semantic annotation of phenotypic traits. Our pipeline is demonstrated using two important data sources, initially organized according to different data models: the NHGRI-EBI GWAS Catalog and FinnGen (University of Helsinki). The integration effort finally allows us to use these datasets within multi-sample processing queries that respond to important biological questions. These are then made usable for multi-omic studies together with, e.g., somatic and reference mutation data, genomic annotations, epigenetic signals. Conclusions: As a result of the our work on GWAS datasets, we enable 1) their interoperable use with several other homogenized and processed genomic datasets in the context of the META-BASE repository; 2) their big data processing by means of the GenoMetric Query Language and associated system. Future large-scale tertiary data analysis may extensively benefit from the addition of GWAS results to inform several different downstream analysis workflows. © 2023, The Author(s).","Data integration; Genomics; GWAS; Multiomics studies; Processed datasets; Tertiary data analysis","Big Data; Data Analysis; Epigenomics; Genome-Wide Association Study; Genomics; Humans; article; big data; conceptual model; data analysis; data integration; data source; epigenetics; genome-wide association study; genomics; human; human experiment; language; metadata; multiomics; pipeline; single nucleotide polymorphism; workflow; data analysis","","BioMed Central Ltd","36869294","Article","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85149541411"
"Merelli I.; Beretta S.; Cesana D.; Gennari A.; Benedicenti F.; Spinozzi G.; Cesini D.; Montini E.; D’Agostino D.; Calabria A.","Merelli, Ivan (12771696900); Beretta, Stefano (55562133000); Cesana, Daniela (14013948200); Gennari, Alessandro (58691668100); Benedicenti, Fabrizio (8505232000); Spinozzi, Giulio (56414693700); Cesini, Daniele (24757828000); Montini, Eugenio (7003421057); D’Agostino, Daniele (57205137978); Calabria, Andrea (35097150900)","12771696900; 55562133000; 14013948200; 58691668100; 8505232000; 56414693700; 24757828000; 7003421057; 57205137978; 35097150900","InCliniGene enables high-throughput and comprehensive in vivo clonal tracking toward clinical genomics data integration","2023","Database","0","10.1093/database/baad069","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85176385747&doi=10.1093%2fdatabase%2fbaad069&partnerID=40&md5=fb94153c889177d646c3a65abfcd4652","High-throughput clonal tracking in patients under hematopoietic stem cell gene therapy with integrating vector is instrumental in assessing bio-safety and efficacy. Monitoring the fate of millions of transplanted clones and their progeny across differentiation and proliferation over time leverages the identification of the vector integration sites, used as surrogates of clonal identity. Although Υtracking retroviral insertion sites (Υ-TRIS) is the state-of-the-art algorithm for clonal identification, the computational drawbacks in the tracking algorithm, based on a combinatorial all-versus-all strategy, limit its use in clinical studies with several thousands of samples per patient.We developed the first clonal tracking graph database, InCliniGene (https://github.com/calabrialab/InCliniGene), that imports the output files of Υ-TRIS and generates the graph of clones (nodes) connected by arches if two nodes share common genomic features as defined by the Υ-TRIS rules. Embedding both clonal data and their connections in the graph, InCliniGene can track all clones longitudinally over samples through data queries that fully explore the graph.This approach resulted in being highly accurate and scalable.We validated InCliniGene using an in vitro dataset, specifically designed to mimic clinical cases, and tested the accuracy and precision. InCliniGene allows extensive use of Υ-TRIS in large gene therapy clinical applications and naturally realizes the full data integration of molecular and genomics data, clinical and treatment measurements and genomic annotations. Further extensions of InCliniGene with data federation and with application programming interface will support data mining toward precision, personalized and predictive medicine in gene therapy. © The Author(s) 2023.","","article; data integration; data mining; embedding; gene therapy; genomics; human; in vitro study","","Oxford University Press","37935583","Article","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85176385747"
"Irshad O.; Khan M.U.G.","Irshad, Omer (57215086356); Khan, Muhammad Usman Ghani (57482888000)","57215086356; 57482888000","A comparative analysis of biological data integration systems famous for data exploitation and knowledge discovery","2021","Current Bioinformatics","1","10.2174/1574893615999210101125442","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117118981&doi=10.2174%2f1574893615999210101125442&partnerID=40&md5=3d9c676300ea6e2df83d6cff664869f0","Integrating heterogeneous biological databases for unveiling the new intra-molecular and inter-molecular attributes, behaviors, and relationships in the human cellular system has always been a focused research area of computational biology. In this context, a lot of biological data integration systems have been deployed in the last couple of decades. One of the prime and common objectives of all these systems is to better facilitate the end-users for exploring, exploiting, and analyzing the integrated biological data for knowledge extraction. With the advent of especially high-throughput data generation technologies, biological data is growing and dispersing continuously, exponentially, heterogeneously, and geographically. Due to this, biological data integration systems face data integration and data organization-related current and future challenges. The objective of this review is to quantitatively evaluate and compare some of the recent warehouse-based multi-omics data integration systems to check their compliance with the current and future data integration needs. For this, we identified some of the major data integration design characteristics that should be in the multi-omics data integration model to comprehensively address the current and future data integration challenges. Based on these design characteristics and the evaluation criteria, we evaluated some of the recent data warehouse systems and showed categorical and comparative analysis results. Results show that most of the systems exhibit no or partial compliance with the required data integration design characteristics. So, these systems need design improvements to adequately address the current and future data integration challenges while keeping their service level commitments in place. © 2021 Bentham Science Publishers.","Data analysis; Data heterogeneity; Data integration; Data schema characteristics; Data warehouse; Multi-omics; Semantic data schema; Syntax-based data schema","data analysis; data integration; data warehouse; human; human cell; knowledge discovery; multiomics; quantitative analysis; review","","Bentham Science Publishers","","Review","","Scopus","2-s2.0-85117118981"
